,callsign,icao24,last_position,filter,count
40619,WJA2060,c0817c,2022-01-14 17:42:16.595000064+00:00,False,0
40620,WJA2060,c0817c,2022-01-14 17:42:17.588999936+00:00,False,0
40621,WJA2060,c0817c,2022-01-14 17:42:18.904000+00:00,False,0
40622,WJA2060,c0817c,2022-01-14 17:42:19.809999872+00:00,False,0
40623,WJA2060,c0817c,2022-01-14 17:42:20.748000+00:00,False,0
40624,WJA2060,c0817c,2022-01-14 17:42:21.608000+00:00,False,0
40625,WJA2060,c0817c,2022-01-14 17:42:22.608000+00:00,False,0
40626,WJA2060,c0817c,2022-01-14 17:42:23.977999872+00:00,False,0
40627,WJA2060,c0817c,2022-01-14 17:42:24.966000128+00:00,False,0
40628,WJA2060,c0817c,2022-01-14 17:42:25.976000+00:00,False,0
40629,WJA2060,c0817c,2022-01-14 17:42:26.508000+00:00,False,0
40630,WJA2060,c0817c,2022-01-14 17:42:27.612999936+00:00,False,0
40631,WJA2060,c0817c,2022-01-14 17:42:28.894000128+00:00,False,0
40632,WJA2060,c0817c,2022-01-14 17:42:29.532000+00:00,False,0
40633,WJA2060,c0817c,2022-01-14 17:42:30.726000128+00:00,False,0
40634,WJA2060,c0817c,2022-01-14 17:42:31.799000064+00:00,False,0
40635,WJA2060,c0817c,2022-01-14 17:42:32.816000+00:00,False,0
40636,WJA2060,c0817c,2022-01-14 17:42:33.994999808+00:00,False,0
40637,WJA2060,c0817c,2022-01-14 17:42:34.750000128+00:00,False,0
40638,WJA2060,c0817c,2022-01-14 17:42:35.768000+00:00,False,0
40639,WJA2060,c0817c,2022-01-14 17:42:36.888999936+00:00,False,0
40640,WJA2060,c0817c,2022-01-14 17:42:37.948000+00:00,False,0
40641,WJA2060,c0817c,2022-01-14 17:42:38.829999872+00:00,False,0
40642,WJA2060,c0817c,2022-01-14 17:42:39.844999936+00:00,False,0
40643,WJA2060,c0817c,2022-01-14 17:42:40.740999936+00:00,False,0
40644,WJA2060,c0817c,2022-01-14 17:42:41.591000064+00:00,False,0
40645,WJA2060,c0817c,2022-01-14 17:42:42.635000064+00:00,False,0
40646,WJA2060,c0817c,2022-01-14 17:42:43.536999936+00:00,False,0
40647,WJA2060,c0817c,2022-01-14 17:42:44.571000064+00:00,False,0
40648,WJA2060,c0817c,2022-01-14 17:42:45.706000128+00:00,False,0
40649,WJA2060,c0817c,2022-01-14 17:42:46.636000+00:00,False,0
40650,WJA2060,c0817c,2022-01-14 17:42:47.701999872+00:00,False,0
40651,WJA2060,c0817c,2022-01-14 17:42:48.688000+00:00,False,0
40652,WJA2060,c0817c,2022-01-14 17:42:49.994999808+00:00,False,0
40653,WJA2060,c0817c,2022-01-14 17:42:50.904999936+00:00,False,0
40654,WJA2060,c0817c,2022-01-14 17:42:51.976999936+00:00,False,0
40655,WJA2060,c0817c,2022-01-14 17:42:52.578000128+00:00,False,0
40656,WJA2060,c0817c,2022-01-14 17:42:53.608000+00:00,False,0
40657,WJA2060,c0817c,2022-01-14 17:42:54.578000128+00:00,False,0
40658,WJA2060,c0817c,2022-01-14 17:42:55.544000+00:00,False,0
40659,WJA2060,c0817c,2022-01-14 17:42:56.972999936+00:00,False,0
40660,WJA2060,c0817c,2022-01-14 17:42:57.976000+00:00,False,0
40661,WJA2060,c0817c,2022-01-14 17:42:58.898999808+00:00,False,0
40662,WJA2060,c0817c,2022-01-14 17:42:59.887000064+00:00,False,0
40663,WJA2060,c0817c,2022-01-14 17:43:00.910000128+00:00,False,0
40664,WJA2060,c0817c,2022-01-14 17:43:01.868999936+00:00,False,0
40665,WJA2060,c0817c,2022-01-14 17:43:02.944999936+00:00,False,0
40666,WJA2060,c07ee6,2022-01-15 17:06:30.473999872+00:00,False,0
40667,WJA2060,c07ee6,2022-01-15 17:06:31.683000064+00:00,False,0
40668,WJA2060,c07ee6,2022-01-15 17:06:32.819000064+00:00,False,0
40669,WJA2060,c07ee6,2022-01-15 17:06:33.750000128+00:00,False,0
40670,WJA2060,c07ee6,2022-01-15 17:06:34.785000192+00:00,False,0
40671,WJA2060,c07ee6,2022-01-15 17:06:35.852999936+00:00,False,0
40672,WJA2060,c07ee6,2022-01-15 17:06:36.881999872+00:00,False,0
40673,WJA2060,c07ee6,2022-01-15 17:06:37.979000064+00:00,False,0
40674,WJA2060,c07ee6,2022-01-15 17:06:38.992999936+00:00,False,0
40675,WJA2060,c07ee6,2022-01-15 17:06:39.953999872+00:00,False,0
40676,WJA2060,c07ee6,2022-01-15 17:06:40.953999872+00:00,False,0
40677,WJA2060,c07ee6,2022-01-15 17:06:41.368999936+00:00,False,0
40678,WJA2060,c07ee6,2022-01-15 17:06:42.516999936+00:00,False,0
40679,WJA2060,c07ee6,2022-01-15 17:06:43.964999936+00:00,False,0
40680,WJA2060,c07ee6,2022-01-15 17:06:44.973999872+00:00,False,0
40681,WJA2060,c07ee6,2022-01-15 17:06:45.887000064+00:00,False,0
40682,WJA2060,c07ee6,2022-01-15 17:06:46.926000128+00:00,False,0
40683,WJA2060,c07ee6,2022-01-15 17:06:47.759000064+00:00,False,0
40684,WJA2060,c07ee6,2022-01-15 17:06:48.628999936+00:00,False,0
40685,WJA2060,c07ee6,2022-01-15 17:06:49.628000+00:00,False,0
40686,WJA2060,c07ee6,2022-01-15 17:06:50.664000+00:00,False,0
40687,WJA2060,c07ee6,2022-01-15 17:06:51.668000+00:00,False,0
40688,WJA2060,c07ee6,2022-01-15 17:06:52.720999936+00:00,False,0
40689,WJA2060,c07ee6,2022-01-15 17:06:53.795000064+00:00,False,0
40690,WJA2060,c07ee6,2022-01-15 17:06:54.816000+00:00,False,0
40691,WJA2060,c07ee6,2022-01-15 17:06:55.785000192+00:00,False,0
40692,WJA2060,c07ee6,2022-01-15 17:06:56.663000064+00:00,False,0
40693,WJA2060,c07ee6,2022-01-15 17:06:57.775000064+00:00,False,0
40694,WJA2060,c07ee6,2022-01-15 17:06:58.879000064+00:00,False,0
40695,WJA2060,c07ee6,2022-01-15 17:06:59.717999872+00:00,False,0
40696,WJA2060,c07ee6,2022-01-15 17:07:00.600000+00:00,False,0
40697,WJA2060,c07ee6,2022-01-15 17:07:01.957999872+00:00,False,0
40698,WJA2060,c07ee6,2022-01-15 17:07:02.558000128+00:00,False,0
40699,WJA2060,c07ee6,2022-01-15 17:07:03.520000+00:00,False,0
40700,WJA2060,c07ee6,2022-01-15 17:07:04.760999936+00:00,False,0
40701,WJA2060,c07ee6,2022-01-15 17:07:05.675000064+00:00,False,0
40702,WJA2060,c07ee6,2022-01-15 17:07:06.762000128+00:00,False,0
40703,WJA2060,c07ee6,2022-01-15 17:07:07.834000128+00:00,False,0
40704,WJA2060,c07ee6,2022-01-15 17:07:08.733999872+00:00,False,0
40705,WJA2060,c07ee6,2022-01-15 17:07:09.712000+00:00,False,0
40706,WJA2060,c07ee6,2022-01-15 17:07:10.762000128+00:00,False,0
40707,WJA2060,c07ee6,2022-01-15 17:07:11.569999872+00:00,False,0
40708,WJA2060,c07ee6,2022-01-15 17:07:12.496999936+00:00,False,0
40709,WJA2060,c07ee6,2022-01-15 17:07:13.532000+00:00,False,0
40710,WJA2060,c07ee6,2022-01-15 17:07:14.654000128+00:00,False,0
40711,WJA2060,c07ee6,2022-01-15 17:07:15.642999808+00:00,False,0
40712,WJA2060,c07ee6,2022-01-15 17:07:16.624000+00:00,False,0
40713,WJA2060,c07ee6,2022-01-15 17:07:17.890000128+00:00,False,0
40714,WJA2060,c07ee6,2022-01-15 17:07:18.826999808+00:00,False,0
40715,WJA2060,c07ee6,2022-01-15 17:07:19.842000128+00:00,False,0
40716,WJA2060,c07ee6,2022-01-15 17:07:20.798000128+00:00,False,0
40717,WJA2060,c07ee6,2022-01-15 17:07:21.875000064+00:00,False,0
40718,WJA2060,c07ee6,2022-01-15 17:07:22.748000+00:00,False,0
40719,WJA2060,c07ee6,2022-01-15 17:07:23.818000128+00:00,False,0
40720,WJA2060,c07ee6,2022-01-15 17:07:24.880999936+00:00,False,0
40721,WJA2060,c07ee6,2022-01-15 17:07:25.798000128+00:00,False,0
40722,WJA2060,c07ee6,2022-01-15 17:07:26.935000064+00:00,False,0
40723,WJA2060,c07ee6,2022-01-15 17:07:27.503000064+00:00,False,0
